,DRUG, UTERUS, OVERIES,   CERVIX,BREAST,VAGINA,MENSTRUATION, LEUCORRHOEA,Unnamed: 8,FLOW NATURE,  FIBROIDS, ASSOCIATED SYMPTOMS, EXTERMITIES,BACK,MILK, ORGANS ASSOCIATE        , PREGNANCY,LABOR, SUPPRESSION, MIND, ERUPTION,GENITALS,MENOPAUSE,ABORTION,PREGNENCY,AMENORRHOEA,CLIMACTERIC,URETHRA,WORSE,BETTER,ABDOMEN,DYSMENORRHOEA,Unnamed: 32,METRORRHAGIA,Unnamed: 34,PELVIS,NIGHT,DAY,LOCHIA,SEXUAL,DISEASE,SENSATION,FEVER,STERILITY,CIRCULATION,MENORRHAGE,Unnamed: 46,NON RELATED,NON RELATED.1,HEADACHE,0CCIPIT,BRAIN,FOREHEAD,Unnamed: 5,TEMPROL,Unnamed: 7,VERTEX,MODALITY,VERTIGO1,VOMITING,OTHERORGANS,HEAD POSITION,NOSE,FACE,EAR,ASSOCIATED SYMPTOMS,TEETH,Unnamed: 19,EYE,Unnamed: 21,MIND,STOOL,FEMALE,SCALP,VERTIGO2,TONGUE,Unnamed: 31,SLEEP,THROAT,HEART,Unnamed: 36,Unnamed: 37,SWEAT,STOMACH,EXTERMITIES,GLANDS,OCCIPUT,LIMBS,MUSCLES,BONES,VEINS,SCIATICA,SPINE,SKIN,SHOULDER,SCAPULA,CLAVICLE,UPPER LIMB,UPPER ARM,ELBOW,FOREARM,WRIST,PALMS,HANDS,FINGERS,NAILS,LOINS,LOWER LIMBS,SCIATICA.1,HIPS,THIGHS,KNEES,LEGS,CALF,ANKLES,HEEL,FOOTS,TOES,SOLES,JOINTS  ,LIGAMENTS,PAINS,SENSATIONS,Unnamed: 45,WALK,PAIN,NEUROLGIA,AXILLAE,PARALYSIS,Unnamed: 56,Unnamed: 57,KIDNEY,CHEST,NECK,DORSAL,LUMBAR,SACRUM,COCCYX,BLADDER,BONE,ASSOCIATE SYMPTOMS,MUSCLES.1,SHOULDERS, DISEASE,TENDON
497,Lecithin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AchesEspOcciputPulsatRingEars,,,,,,,,,,occiEarFaceZygoma,,,palePainZygomaRingingEarsPulsate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Ledum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DistressWhenHeadCovered,,,,,,,,distressHeadCovered,,,,,,,,,whenWalkTendFallOneside,,,,noseBleed,,,,,,,,distressHeadCovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Leptandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dullFrontalPain,,,,,,vertigoDrowsyDepression,,FHvertigoEyessleepMind,,,,,,,,smartingAchingInEyes,,drowsyDepressVertigo,,,,,,,vertigoDrowsyDepression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,LiliumTigrinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WildFeelinInHead,,,,,,,,HotDullHeavyFaint,,,,,,,,FaintWarmRoom,,,ModalitySensationHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Limulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DepressionDifficultRememberNames,,,,,,,,,brainMindLteyeFace,,,confusedWithHeatBloodrush,,,,,painbehindLefteyeball,,worseWhenMeditating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,LithiumCarbonicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extreemlySensitive TrembleThrobbing,,,,,,,,headacheCeasesWhileEating,,tensionAsifBoundBetterSittingGoingout,,,,,,,,,heartcheeksFaceBrainSensEarHead,,,bothcheeksCoveredDryBranLikeScales,DizzyStatesWithRingingEars,,,,,,,,,,,,,,,painheartExtendHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,LobelliaInflata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,worseAfternoonUntillMidnight,,,,DullHeavyPain,,,,,,,,GastricHeadacheNauseaVomiting,,,,,,,,,vertigoWithFearOfDeath,gastricHeadacheNauseaVomit,fearGastricheadacheDayNight,,,,,,,,,,andProstrationGastricHeadache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,LobeliaPurpurascens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Headheavy,,,,,,,,,headacheaWithNauseaVertigo,nauseaVertigoEspEyebrowBtween,mindVomitEyesHead,,,,,spasmodicClosureLids,,,cannotKeepEyesOpenSpasmodicClosure,,confusedDepression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,LoliumTemulentum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,headHeavy,,,,,,,,,,,,,,,,,vertigoMustCloseEyes,,mindVertigoEyesEars,,,,NoiseInEars,,,,,,AnxiousDepressedConfused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,LoniceraXylosteum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,congestHeadAndChestCOMA,,,,,,,,,headChestEyesPupilFace,,,RedFace,,,,,contractOnePupilDilateOtherhalfOpenSopor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,LupulusHumulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dullHeavyDizziness,,,,,,,,,,,mindDizzyTwitchAssociatesymp,,,,,DrawingTwitchingEveryMuscle,,,,,morbivigilenceHighlyExcited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Lycopodium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShakesHeadNocause,,,,,,,,IfnotEatRegularlyHeadache,tearingBetterFreshAir,,deepFurrows,,asifScrewedEachother,,pressingWorse4pm8pmAndLyeStoop,,morningOnRising,,frontOcciTempTopHairBaldEarEye,,,TwistFaceMouth,eczemamoistOozingBehindEars,throbHeadacheOnCough,,,headacheOvereyesInColdBetteruncover,,,,,greyhairPrematureBaldness,,,,,,,,,,headacheIfNotEatingRegularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,LycopusVirginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frontalHeadache,,,,,,,,frontEminenceHeatrNose,,noseBleed,,,,,,,,,,,,,,,,,worseFrontEminenceByLaboredHeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,MagnesiaCarbonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sidepainAsifHairPulled,,,,,,,,painSideliesOnStickpain,,,,,,,,,,,SideMindRtorbitEyeDampScalp,,,,,painWhichSideLiesAsifHairpulled,,,painAboveMarginRtOrbitBlackMotes,,worseMentalExertion,,,itchScalpWorseDampWeather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Abrotanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,painfull contration limbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain shoulders arms wrists ankles,,,,,,,pricking coldness fingers feet,,,,,,,,,,legs greatly emaciated,,,,,joints stiff and lame,,,,,,,,,,,,,,,,,,,,,,,,,
512,Acetic Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emaciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oedema feet legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,AconitumNapellus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain down to left arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icy cold and insensible hands feet,arms feel lame bruised heavy numb,,,,,both hands of hypothenar eminence bright red,,,,,,hip joint thigh feel lams esp after lying down,sensation asif water trickled down thigh,knees unsteady disposition  foot to turn,,,,,"cold feets ,hot hands",,,"rhematic inflamation joints worse night,red shinig swelling sensitive",weak and lax ligaments of all joints,painless crackling all joints,numbness tingling shooting pains,,,,,,,,,,,,,,,,,,,,,,
514,Actea Spicata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatic pains small joints wrists fingers ankles toes,,,,,,,,,,,,,,,,,,,,,,,,,sudden lassitude or lack of energy after talking eating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lame feeling in arms,,,wrist swelling red worse any motion,,paralytic weakness hands,,,tearing pain in loins,,,,,pain knees,,,,,,,,swelling joints from slight fatigue,,,,,,,,,,,,,,,,,,,,,,,,,
515,AdonisVernalis,,,,,,,,,,,,,Aching nape spine stiff aching oedema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Aesculus Hippocatanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aching soreness in limbs,,,,,,,,,,,,in left acromion process with shooting down arm,,,,,,,"hands and feet swelling, and red after washing,feelfull",finger tips numb,,,,,,,,,,,,when walking feet turn under,,"soles feel sore,tired,swell",,,,,,,,,,,,,,,,,,,,,,,,,,
517,Aetusa Cynapium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"violent spasms, squinting of eyes downward",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,finger and thumb clenched,,,weakness lower extermities,,,,,,,,,,,,,,,numbness hands and feet,,,,,,,,,,,,,,,,,,,,,,
518,AgaricusMuscarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neurolgia locomotor ataxia or in coordinate movements,,,,,,,,,,,,,,,,,,,,,,,,,numbness legs on crossing them,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paralytic pain in left arm followed palipitation,,,,,,,,weakness in loins,paralysis lower limbs with spasmodic condition of arms,,pain over hips,,,pain in leg or shin bone or tibia,tearing painful contractionin calves,,,itching toesfeet as if frozen,,cramps soles feet,,,,"stiffness all over, trembling",,uncertain gait or sequence foot  movement,,,,,,,,,,,,,,,,,,,,
519,AlliumCepa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limbs esp arms feel sore and tired,,,,,,,,,,,,,,,,,,,,painful affection figers about nails,,,,,,,,,,,ulcers on heel,bad effects from getting feet wet,,,lame joints,,,,,,,neurolgia of stump,,,,,,,,,,,,,,,,,,
520,Aloe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lameness in all limbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soles pain when walking,drawing pains in joints,,,,,,,,,,,,,,,,,,,,,,,,,
521,Alumen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,constricted feeling around limbs,,,,weakness all muscles esp arms and legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Alumina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inability walk with eyes closed,,,,,,,,,,,,,,,,,,,,,,,,,,,spinal degeneration and paralysis lower limbs,,pain shoulder and upper arm,,,,pain arm and fingers asif hot iron penetrated,,,,,,,growing beneath finger nails brittle,,,,,,,legs feel asleep esp when sitting with leg crossed,,,heels feel numb,,,soles tender pain on stepping feel soft swelling,,,,arm feel paralyzed,,staggers or unsteady on walking,,,,,,,,,,,,,,,,,,,,
523,AluminaSilicata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heaviness jerking numbness aching and pains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,AmbraGrisea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cramps in hands fingers worse grasping anything,,,,,,,,,cramps in legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,AmmoniumCarb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tearing in joints relived better heat of bed,,,,,,,,,,,felons in beginning,,,,,,,,,,,,,,,,,,,,,,,,,panaritium deep seated perioesteal pain,,,,,,,,,,,,,,,,,,,,,,,,,hands cold and blue distended veins,,,,,,,,,,,,,,fingers swell when arm hanging down,,,,,,,,cramps in calves and soles,,"tearing ankle and feet bone,better warm in bed",heel painful on standing,,big toe painful swelling,,,,,,inclination to stretch limbs,,,,,,,,,,,,,,,,,,,,,
526,AmmoniumMuriaticum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,offensive feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain as ulceration finger tips,,,,scitica worse sitting better lying,,contraction hamstring  tendons,,,,,ulcerative pain in heels,pain in feet during menses,shooting tearing in tips finger and toes,,,,,,,,,neurolgia amputed limbs,,,,,,,,,,,,,,,,,,
527,Amyl Nitosum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,veins of hands dilated,,,,,,,,,,,,,,pulsation felt in finger tips,,,,,,,,,,,,,,,,,,constant stretching for hours,,,,,,,,,,,,,,,,,,,,,,
528,Anacardium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pressure as from plug in glutei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fingers swollen with vesicular eruption ,,,,,,,knees feel paralyzed or bandaged,,cramps in calves,,,,,,,,,,,,,neurolgia thumb,,,,,,,,,,,,,,,,,,
529,Anagallis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatic and gouty pains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain in shoulder and arm,,,,,,,,,,cramp in ball of thumbs and fingers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,AngusturaVera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stiffness tension muscles and joints,,,,,,,,,,arms tired and heavy,,,,,,coldness fingers,,,,,,carries long bones,pain in knees,,,,,,,,cracking in joints,,,,,pain in limbs on walking,,,,,,,,,,,,,,,,,,,,
531,AntimoniumCrudum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inflamed corns,,,,,,,,,,,,,,,,,,,,,,,,,weakness shaking hands in writing with offensive flatulence,,,,,,,,,,,,,,,,,,,,,,,twitching muscles,,,,,,,,,,jerking arms,,,,,horny wart on hands and soles,arthritic pain in fingers,nails brittle grow out of shape,,,,,,,,,,pain in heel,"feet very tender pain covered large horny places,",,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,ApisMellifica,,,,,,,,,,,,,rhematic pain back and limbs,,,,,,,,,,,,,,,,,,,,,,,,,,,oedematous synovitis felon on beginning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hives with intolerable itching,,,,,,,,,,numbness hands and tip of fingers,,,,,,,,knees swelling shiny sensitive sore stinging pain,,,,,feet swelling stiffness,,,,,,"feels too large,tired bruised ,swelling",,,,,,,,,,,,,,,,,,,,,,
533,Apcynum Androsaemifolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swelling hands and feet,,,,,,,,,,,,,,"pain in toes and  violent tingling cramps in soles, ",profuse sweat with much violent heat in soles,pain in joints,,,,,,,,,,,,,,,,,,,,,,,,,
534,Aragallus Lamberti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weakness limbs,,,,cramps of muscle on front of leg while walking,,,pain in left sciatica nerve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,AraneaDiadema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bone pain in extermities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain in os calcis,,,,,,,sensation swellig and parts going to sleep,,,,,,,,,,,,,,,,,,,,,,
536,Argemone Mexicana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left knee stiffness and painful,,,,,feet swelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Argentum Nitricum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post dipthertic parlysis,,,,,,,,,,,,,,,,,,,,,,,,,paralysis with mental and abdominal symptoms,,,,,debility calves esp walks and stands unsteady esp when unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,numbness arms,,,,,,,,,,,,,,,rigidity  calves,,,,,,,,,trembling with general debility,,can not walk with eye closed,,,,,,,,,,,,,,,,,,,,
538,Arnica,,,,,,,,,,,,,pain back and limbs asif bruised or beaten,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatism begins low down and works up,,,,,,,,,,,,,,,,,,,,,,,,,everything on which he lies seems too hard,,,,,great fear being touched or approched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deathly coldness forearm,,,,,,,,,,,,,,,,,,,,,,"sprained dislocated feeling, soreness after overexertion",,can not walk erect because bruised pain pelvic region,,,,,,,,,,,,,,,,,,,,
539,Arsenicum Album,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diabbetic gangrene,,,,,,,,,,,,,,,,,,,,,,,,,trembling twitching spasms weakness heavyness uneasiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paralysis of lower limbs with atrophy,sciatica,,,,,cramps in calves,,ulcers on heel,swelling feet,,,,,,burning pains,,,,peripheral neuritis,,,,,,,,,,,,,,,,,,
540,Arunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,itching burning oedema hands and feet,,,,,,,,,,,,,copious offensive sweat of feet,,burning swelling soles,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Asafoetida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perioesteal painful swollen enlarged,,,,,,,,,,,,,,,,,,,,,,,,darting pains and carries bones ulcer affect bones thin ichorus pus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,AeslepiasTuberosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rhematic joints give sensation asif adhesion being broken up on bending,,,,,,,,,,,,,,,,,,,,,,
543,Asparagus Officinalis,,,,,,,,,,,,,rhematic pain back esp near shoulder and limbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain near acromium process left scapula under clavicle down arm with feeble pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,Astragalus Mollissimus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icy coldness left calf,,,purring sensation right foot outer side from heel to toe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,AurumMetallicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,destruction bones like secondary syphilis exostosis carries worse night,orgasm asif blood were boilling in all veins,,,,,,,,,,,,,,,,,all blood seems to rush from head to lower lmbs dropsy,,,,knees weak,,,,,,,,paralytic tearing pain in joints,,,soreness affected bones,,,,,,,,,,,,,,,,,,,,,,
546,AvenaSativa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,strength of hands diminished,,,,,,,,,,,,,,,,,,,numbness of limbs asif paralyzed,,,,,,,,,,,,,,,,,,,,,,
547,Baptisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain in sacrum around hips and legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stiffness ans pain aching and drawing in arms legs,,,,,,,,,,,,,,,,,,,,,,,,sore bruised decubitus,,,,,,,,,,,,,,,,,,,,,,
548,BarytaAcetica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawing pain down whole left leg,,,,,,,,,,crawling with burning stitches,,,,,,,,,,,,,,,,,,,,,,
549,BarytaCarb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numbness limbs,pain in auxillary glands,swelling glands in nape of occiput,,,,,,,,,,,,,,,,,,,,,burning pain in lower limbs,,,,numb feeling from knees to sacrum disappears when sitting down,,,,,cold clammy damp sweaty unplasent feet fetid sweat,toes solessore,soles paiful when walking,pain in joints,,,,,,,,,,,,,,,,,,,,,,,,,
550,Belladona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shifting rheumatic pains,,,,,,,,,,,,,,,,,,,,,,,,,phlegmasia aluba dolen deep vein thrombosis cold extermities,,,,,,,,,,,,,,,,,,,jerking spasmsshooting pain along limbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joints swelling red shining with red streaks radiating,,,involuntary limping,,tottering gait,,,,,,,,,,,,,,,,,,,,
551,Bellis Perennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sprains with great soreness railway spine,,,,,,,,,,,,,,,,,,,,,,,musclar soreness,,,,,,,,,,,,,wrist feels contracted as from elastic band around joint,,,,,,,,,itching back and flexor pain down anterior front of thighs,,,,,,,,,joints sore,,,,,,,,,,,,,,,,,,,,,,,,,
552,Benzenum Coal Naphtha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heavy limbs,,,,,,,,,,,,,,,,,,,,,,,,,,,exaggerated knee jerk,,cold legs,,,,,,,,,,,,pain from below upward,,,,,,,,,,,,,,,,,,,
553,BenzoicumAcidum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatic gout nodes very paifull deposits,,,,,,,,,,,,,,,,,,,,,,,,,tearing pain great toe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ganglion swelling wrist,,,,,,,,,,,,,,,,pain swelling knees bunion or lateral deviation great toe,,joints crack on motion,,,tearing with stitches,,,pain in tendo achilis,,,,,,,,,,,,,,,,,,,
554,BerberisVulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatic paralytic pain shoulders arms hands fingers legs feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intense weariness lameness legs after walk short distence,,,heel pain asif ulcerated,stitchin between metatarsal bones as from nail when standing,,,,,,sensation of cold on outsides thighs,,pain in balls of feeton stepping,,neurolgia finger nails with swelling finger joints,,,,,,,,,,,,,,,,,,
555,Betonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wrir drops,,,,,,,,,,,pain in right popliteal space down leg which feels paralysed,,,,,,,shooting pain in back both wrists joints,,,,,,,,,,,,,,,,,,,,,,,,,
556,Bismuthum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paralytic weakness esp right arm,,,,tearing wrist,,cramp in hands and feet,tearing in tips fingers under nails,,,,,,,,itching erosion near tibia and back of feet near joints,,,,,,,,,,cold limbs,,,,,,,,,,,,,,,,,,,,,,
